iteration,loglik,run
0,,0
1,-9596755.0,0
2,-14469107.0,0
3,-28431.013671875,0
4,-17808408.0,0
5,-28007.048828125,0
6,-27888.33984375,0
7,-27780.51171875,0
8,-27681.015625,0
9,-27574.015625,0
10,-27493.455078125,0
11,-27423.17578125,0
12,-27349.048828125,0
13,-27283.228515625,0
14,-27223.62890625,0
15,-27151.11328125,0
16,-27093.5234375,0
17,-27044.349609375,0
18,-26994.13671875,0
19,-26951.16015625,0
20,-26910.251953125,0
21,-26862.958984375,0
22,-26827.18359375,0
23,-26795.369140625,0
24,-26759.755859375,0
25,-26725.77734375,0
26,-26693.208984375,0
27,-26664.474609375,0
28,-26636.826171875,0
29,-26607.298828125,0
30,-26577.357421875,0
31,-26555.240234375,0
32,-26528.560546875,0
33,-26501.083984375,0
34,-26475.197265625,0
35,-26453.49609375,0
36,-26432.828125,0
37,-26409.546875,0
38,-26389.06640625,0
39,-26372.615234375,0
40,-26357.29296875,0
41,-26339.46484375,0
42,-26322.267578125,0
43,-26305.8515625,0
44,-26289.353515625,0
45,-26271.5078125,0
46,-26255.341796875,0
47,-26240.7578125,0
48,-26226.212890625,0
49,-26213.3125,0
50,-26199.005859375,0
0,,1
1,-6740997.0,1
2,-6805033.0,1
3,-8886406.0,1
4,-11298566.0,1
5,-14328918.0,1
6,-19649606.0,1
7,-33673600.0,1
8,-34098752.0,1
9,-69941208.0,1
10,-79862344.0,1
11,-47467916.0,1
12,-44817868.0,1
13,-49889492.0,1
14,-45773520.0,1
15,-29051256.0,1
16,-29419104.0,1
17,-30536368.0,1
18,-43668708.0,1
19,-46736960.0,1
20,-40033324.0,1
21,-42596728.0,1
22,-39528576.0,1
23,-34204144.0,1
24,-31797188.0,1
25,-33573192.0,1
26,-37425400.0,1
27,-39722724.0,1
28,-38895688.0,1
29,-37318964.0,1
30,-49374168.0,1
31,-45337256.0,1
32,-43273628.0,1
33,-39319676.0,1
34,-38304996.0,1
35,-37109724.0,1
36,-41021108.0,1
37,-38603928.0,1
38,-41893352.0,1
39,-42779340.0,1
40,-41374000.0,1
41,-46658820.0,1
42,-50213996.0,1
43,-59679604.0,1
44,-49038936.0,1
45,-49571324.0,1
46,-45713040.0,1
47,-45553100.0,1
48,-46279452.0,1
49,-44633388.0,1
50,-41211216.0,1
0,,2
1,-9167487.0,2
2,-9936692.0,2
3,-11346580.0,2
4,-14102496.0,2
5,-18946884.0,2
6,-21780872.0,2
7,-19190498.0,2
8,-19383406.0,2
9,-22533828.0,2
10,-37697852.0,2
11,-43676556.0,2
12,-31020674.0,2
13,-23678398.0,2
14,-24179588.0,2
15,-26133180.0,2
16,-26254068.0,2
